Time_off,ID_off,Time_on,ID_on
0.04281,-2.46137e-10,0.02827,-6.7485e-10
0.20029,-2.44677e-10,0.20061,-6.77607e-10
0.40033,-2.46495e-10,0.40066,-6.82569e-10
0.60029,-2.3964e-10,0.60061,-6.89334e-10
0.80028,-2.40751e-10,0.80061,-6.82534e-10
1.00029,-2.38413e-10,1.00061,-6.82661e-10
1.20028,-2.38585e-10,1.20066,-6.84473e-10
1.40029,-2.4119e-10,1.40061,-6.86036e-10
1.60028,-2.40379e-10,1.60061,-6.90909e-10
1.80033,-2.37917e-10,1.80061,-6.91357e-10
2.00033,-2.41474e-10,2.00061,-6.95881e-10
2.20034,-2.38553e-10,2.20061,-6.93184e-10
2.40029,-2.38983e-10,2.40066,-6.95751e-10
2.60034,-2.39017e-10,2.60061,-6.98657e-10
2.80029,-2.41341e-10,2.80061,-6.99683e-10
3.00029,-2.38398e-10,3.00061,-7.03654e-10
3.20028,-2.42918e-10,3.20061,-6.97474e-10
3.40029,-2.3831e-10,3.40061,-6.98552e-10
3.60029,-2.401e-10,3.60061,-7.0258e-10
3.80029,-2.41098e-10,3.80061,-7.0615e-10
4.00029,-2.43744e-10,4.00066,-7.10665e-10
4.20033,-2.37808e-10,4.20061,-7.10118e-10
4.40029,-2.37179e-10,4.40061,-7.08093e-10
4.60029,-2.38131e-10,4.60061,-7.06006e-10
4.80029,-2.34934e-10,4.80061,-7.13365e-10
5.00029,-2.32519e-10,5.00061,-7.14234e-10
5.20033,-2.36044e-10,5.20061,-7.1746e-10
5.40029,-2.30391e-10,5.40066,-7.25369e-10
5.60028,-2.37926e-10,5.60066,-7.23964e-10
5.80029,-2.39127e-10,5.80061,-7.24504e-10
6.00029,-2.33144e-10,6.00061,-7.24791e-10
6.20029,-2.31852e-10,6.20061,-7.22494e-10
6.40029,-2.29913e-10,6.40061,-7.2207e-10
6.60029,-2.3051e-10,6.60061,-7.23619e-10
6.80029,-2.26607e-10,6.80066,-7.23182e-10
7.00033,-2.26913e-10,7.00061,-7.24905e-10
7.20029,-2.28412e-10,7.20066,-7.26721e-10
7.40028,-2.24808e-10,7.40061,-7.32359e-10
7.60033,-2.24211e-10,7.60061,-7.3926e-10
7.80028,-2.3037e-10,7.80061,-7.35698e-10
8.00029,-2.24469e-10,8.00061,-7.36463e-10
8.20028,-2.23298e-10,8.20061,-7.33097e-10
8.40033,-2.2737e-10,8.40061,-7.35552e-10
8.60029,-2.26184e-10,8.60062,-7.3729e-10
8.80029,-2.22367e-10,8.80066,-7.34582e-10
9.00029,-2.2372e-10,9.00061,-7.34934e-10
9.20029,-2.20908e-10,9.20066,-7.30277e-10
9.40029,-2.23776e-10,9.40061,-7.33275e-10
9.60034,-2.17874e-10,9.60061,-7.36378e-10
9.80034,-2.22321e-10,9.80061,-7.36066e-10
10.00029,-2.23526e-10,10.00061,-7.36518e-10
10.20034,-2.19893e-10,10.20061,-7.36901e-10
10.40034,-2.17475e-10,10.40066,-7.32592e-10
10.60029,-2.15705e-10,10.60061,-7.33451e-10
10.80029,-2.12249e-10,10.80061,-7.37932e-10
11.00034,-2.17675e-10,11.00061,-7.39779e-10
11.20034,-2.12223e-10,11.20061,-7.41033e-10
11.40029,-2.17184e-10,11.40066,-7.38912e-10
11.60029,-2.1419e-10,11.60061,-7.41823e-10
11.80029,-2.17603e-10,11.80061,-7.43948e-10
12.00034,-2.20629e-10,12.00061,-7.41804e-10
12.20034,-2.19316e-10,12.20066,-7.41079e-10
12.40029,-2.20821e-10,12.40061,-7.42133e-10
12.60029,-2.17912e-10,12.60066,-7.38096e-10
12.80029,-2.18943e-10,12.80066,-7.37396e-10
13.00034,-2.2073e-10,13.00067,-7.36923e-10
13.20029,-2.21805e-10,13.20061,-7.40006e-10
13.40029,-2.20885e-10,13.40061,-7.40636e-10
13.60029,-2.18586e-10,13.60061,-7.43645e-10
13.80034,-2.14777e-10,13.80061,-7.4385e-10
14.00034,-2.16818e-10,14.00066,-7.40585e-10
14.20029,-2.11633e-10,14.20066,-7.43638e-10
14.40029,-2.12534e-10,14.40067,-7.42724e-10
14.60029,-2.16146e-10,14.60061,-7.41808e-10
14.80029,-2.09874e-10,14.80066,-7.46949e-10
15.00029,-2.0851e-10,15.00061,-7.40079e-10
15.20029,-2.07113e-10,15.20062,-7.37151e-10
15.40029,-2.07709e-10,15.40061,-7.39423e-10
15.60029,-2.08648e-10,15.60062,-7.3665e-10
15.80034,-2.12972e-10,15.80066,-7.35847e-10
16.00034,-2.11469e-10,16.00061,-7.36297e-10
16.20029,-2.09071e-10,16.20061,-7.42926e-10
16.40029,-2.09862e-10,16.40061,-7.46347e-10
16.60029,-2.07718e-10,16.60066,-7.45331e-10
16.80034,-2.09328e-10,16.80061,-7.44816e-10
17.00029,-2.06458e-10,17.00066,-7.45024e-10
17.20029,-2.05589e-10,17.20061,-7.40762e-10
17.40034,-2.07112e-10,17.40061,-7.46156e-10
17.60029,-2.09894e-10,17.60066,-7.46463e-10
17.80029,-2.08666e-10,17.80061,-7.4842e-10
18.00029,-2.10808e-10,18.00067,-7.46636e-10
18.20034,-2.10885e-10,18.20066,-7.44551e-10
18.40029,-2.0631e-10,18.40061,-7.40995e-10
18.60029,-2.07295e-10,18.60061,-7.43383e-10
18.80034,-2.05779e-10,18.80061,-7.43002e-10
19.00029,-2.09801e-10,19.00066,-7.42907e-10
19.20029,-2.09813e-10,19.20066,-7.46824e-10
19.40029,-2.06918e-10,19.40061,-7.47901e-10
19.60029,-2.11665e-10,19.60061,-7.44655e-10
19.80029,-2.12658e-10,19.80066,-7.46347e-10
20.00029,-2.0814e-10,20.00061,-7.50625e-10
20.20029,-2.0823e-10,20.20061,-7.48249e-10
20.40029,-2.10864e-10,20.40066,-7.48907e-10
20.60034,-2.13327e-10,20.60061,-7.47538e-10
20.80029,-2.08682e-10,20.80061,-7.47754e-10
21.00029,-2.06157e-10,21.00061,-7.47944e-10
21.20034,-2.07082e-10,21.20061,-7.43928e-10
21.40029,-2.09362e-10,21.40061,-7.46518e-10
21.60034,-2.07137e-10,21.60061,-7.38472e-10
21.80029,-2.09131e-10,21.80061,-7.42755e-10
22.00029,-2.11019e-10,22.00066,-7.48251e-10
22.20029,-2.11059e-10,22.20061,-7.53538e-10
22.40034,-2.04647e-10,22.40061,-7.48959e-10
22.60029,-2.07581e-10,22.60061,-7.45637e-10
